category,description,link,datatype
WATER_POLO,The user is playing water polo.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
WEIGHTLIFTING,The user is weightlifting.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
WHEELCHAIR,The user is on a wheel chair.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
WINDSURFING,The user is wind surfing.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
YOGA,The user is performing Yoga poses.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
ZUMBA,The users is performing Zumba exercises.,https://developer.android.com/reference/java/lang/String.html,ExerciseDataTypes
FORMAT_FLOAT,Format constant indicating the field holds float values.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#FORMAT_FLOAT,NutritionDataTypes
FORMAT_INT32,Format constant indicating the field holds integer values.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#FORMAT_INT32,NutritionDataTypes
FORMAT_MAP,Format constant indicating the field holds a map of string keys to values.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#FORMAT_MAP,NutritionDataTypes
FORMAT_STRING,Format constant indicating the field holds string values.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#FORMAT_STRING,NutritionDataTypes
MEAL_TYPE_BREAKFAST,Meal type constant representing a breakfast meal.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#MEAL_TYPE_BREAKFAST,NutritionDataTypes
MEAL_TYPE_DINNER,Meal type constant representing a dinner meal.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#MEAL_TYPE_DINNER,NutritionDataTypes
MEAL_TYPE_LUNCH,Meal type constant representing a lunch meal.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#MEAL_TYPE_LUNCH,NutritionDataTypes
MEAL_TYPE_SNACK,Meal type constant representing a snack meal.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#MEAL_TYPE_SNACK,NutritionDataTypes
MEAL_TYPE_UNKNOWN,Meal type constant representing that the meal type is unknown.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#MEAL_TYPE_UNKNOWN,NutritionDataTypes
NUTRIENT_CALCIUM,Calcium amount in milligrams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_CALORIES,Calories in kcal.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_CHOLESTEROL,Cholesterol in milligrams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_DIETARY_FIBER,Dietary fiber in grams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_IRON,Iron amount in milligrams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_MONOUNSATURATED_FAT,Monounsaturated fat in grams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_POLYUNSATURATED_FAT,Polyunsaturated fat in grams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_POTASSIUM,Potassium in milligrams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_PROTEIN,Protein amount in grams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_SATURATED_FAT,Saturated fat in grams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_SODIUM,Sodium in milligrams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_SUGAR,Sugar amount in grams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_TOTAL_CARBS,Total carbohydrates in grams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_TOTAL_FAT,Total fat in grams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_TRANS_FAT,Trans fat in grams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_UNSATURATED_FAT,Unsaturated fat in grams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_VITAMIN_A,Vitamin A amount in International Units (IU).,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
NUTRIENT_VITAMIN_C,Vitamin C amount in milligrams.,https://developer.android.com/reference/java/lang/String.html,NutritionDataTypes
RESISTANCE_TYPE_BARBELL,The user is using a barbell for resistance.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#RESISTANCE_TYPE_BARBELL,NutritionDataTypes
RESISTANCE_TYPE_BODY,The user is using their own body weight for resistance.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#RESISTANCE_TYPE_BODY,NutritionDataTypes
RESISTANCE_TYPE_CABLE,The user is using a cable for resistance.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#RESISTANCE_TYPE_CABLE,NutritionDataTypes
RESISTANCE_TYPE_DUMBBELL,The user is using dumbells for resistance.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#RESISTANCE_TYPE_DUMBBELL,NutritionDataTypes
RESISTANCE_TYPE_KETTLEBELL,The user is using a kettlebell for resistance.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#RESISTANCE_TYPE_KETTLEBELL,NutritionDataTypes
RESISTANCE_TYPE_MACHINE,The user is performing the exercise in a machine.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#RESISTANCE_TYPE_MACHINE,NutritionDataTypes
RESISTANCE_TYPE_UNKNOWN,"The resistance type is unknown, unspecified, or not represented by any canonical values.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field#RESISTANCE_TYPE_UNKNOWN,NutritionDataTypes
FIELD_ACCURACY,The accuracy of an accompanied value (such as location).,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_ACTIVITY,"An activity type of FitnessActivities, encoded as an integer for efficiency.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_ALTITUDE,"An altitude of a location represented as a float, in meters above sea level.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_AVERAGE,An average value.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_BPM,A heart rate in beats per minute.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_CALORIES,Calories in kcal.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_CIRCUMFERENCE,This field is deprecated. There is no applicable replacement field.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_CONFIDENCE,"The confidence of an accompanied value, specified as a value between 0.0 and 100.0.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_DISTANCE,A distance in meters.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_DURATION,A field containing duration.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_EXERCISE,"A workout exercise, as represented by one of the constants in WorkoutExercises.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_FOOD_ITEM,The corresponding food item for a nutrition entry.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_HEIGHT,A height in meters.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_HIGH_LATITUDE,"A high latitude of a location bounding box represented as a float, in degrees.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_HIGH_LONGITUDE,"A high longitude of a location bounding box represented as a float, in degrees.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_INTENSITY,"Intensity of user activity, represented as a float.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_LATITUDE,"A latitude of a location represented as a float, in degrees.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_LONGITUDE,"A longitude of a location represented as a float, in degrees.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_LOW_LATITUDE,"A low latitude of a location bounding box represented as a float, in degrees.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_LOW_LONGITUDE,"A low longitude of a location bounding box represented as a float, in degrees.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_MAX,A maximum value.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_MEAL_TYPE,"Type of meal, represented as the appropriate int constant.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_MIN,A minimum value.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_NUM_SEGMENTS,A number of segments.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_NUTRIENTS,"Nutrients ingested by the user, represented as a float map of nutrient key to quantity.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_OCCURRENCES,How many occurrences of an event there were in a time range.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_PERCENTAGE,"A percentage value, between 0 and 100.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_REPETITIONS,A count of repetitions for a single set of a workout exercise.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_RESISTANCE,"The resistance of the exercise (or weight), in kg.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_RESISTANCE_TYPE,"The type of resistance used in this exercise, represented as the appropriate int constant.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_REVOLUTIONS,A count of revolutions.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_RPM,Revolutions per minute or rate per minute.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_SLEEP_SEGMENT_TYPE,Sleep Segment type defined in SleepStages.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_SPEED,A speed in meter/sec.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_STEPS,A count of steps.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_STEP_LENGTH,This field is deprecated. There is no applicable replacement field.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_VOLUME,Volume in liters.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_WATTS,Power in watts.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
FIELD_WEIGHT,A weight in kilograms.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/Field,NutritionDataTypes
MIME_TYPE_PREFIX,"The common prefix for data type MIME types, for use in intents.",https://developer.android.com/reference/java/lang/String.html,GeneralDataTypes
AGGREGATE_ACTIVITY_SUMMARY,"In the com.google.activity.summary data type, each data point represents a summary of all activity segments of a particular activity type over a time interval.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_BASAL_METABOLIC_RATE_SUMMARY,"In the com.google.calories.bmr.summary data type, each data point represents the average, maximum and minimum basal metabolic rate, in kcal per day, over the time interval of the data point.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_BODY_FAT_PERCENTAGE_SUMMARY,"In the com.google.body.fat.percentage.summary data type, each data point represents the average, maximum and minimum percentage over the time interval of the data point.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_CALORIES_EXPENDED,"Aggregate calories expended, in kcal, during a time interval.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_DISTANCE_DELTA,"Aggregate distance, in meters, during a time interval.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_HEART_POINTS,"In the com.google.heart_minutes.summary data type, each data point represents heart points aggregated over the query window.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_HEART_RATE_SUMMARY,"In the com.google.heart_rate.summary data type, each data point represents average, maximum and minimum beats per minute over the time interval of the data point.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_HEIGHT_SUMMARY,"In the com.google.height.summary data type, each data point represents the average, maximum and minimum height, in meters, over the time interval of the data point.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_HYDRATION,"In the com.google.hydration data type, the field_volume in the data point represents the volume, in liters, of water consumed by a user as part of a single drink.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_LOCATION_BOUNDING_BOX,"In the com.google.location.bounding_box data type, a data point represents the bounding box computed over user's location data points over a time interval.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_MOVE_MINUTES,Aggregate number of move minutes during a time interval.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_NUTRITION_SUMMARY,"In the com.google.nutrition.summary data type, each data point represents the sum of all nutrition entries over the time interval of the data point.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_POWER_SUMMARY,"In the com.google.power.summary data type, each data point represents average, maximum and minimum watts over the time interval of the data point.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_SPEED_SUMMARY,"In the com.google.speed.summary data type, each data point represents the average, maximum and minimum speed over ground, in meters/second, over the time interval of the data point.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_STEP_COUNT_DELTA,Aggregate number of steps during a time interval.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
AGGREGATE_WEIGHT_SUMMARY,"In the com.google.weight.summary data type, each data point represents the average, maximum and minimum weight, in kilograms, over the time interval of the data point.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_ACTIVITY_SEGMENT,"In the com.google.activity.segment data type, each data point represents a continuous time interval with a single activity value.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_BASAL_METABOLIC_RATE,"In the com.google.calories.bmr data type, each data point represents the basal metabolic rate of energy expenditure at rest of the user at the time of the reading, in kcal per day.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_BODY_FAT_PERCENTAGE,"In the com.google.body.fat.percentage data type, each data point represents a measurement of the total fat mass in a person's body as a percentage of the total body mass.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_CALORIES_EXPENDED,"In the com.google.calories.expended data type, each data point represents the number of calories expended, in kcal, over the time interval of the data point.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_CYCLING_PEDALING_CADENCE,"In the com.google.cycling.pedaling.cadence data type, each data point represents an instantaneous measurement of the pedaling rate in crank revolutions per minute.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_CYCLING_PEDALING_CUMULATIVE,"In the com.google.cycling.pedaling.cumulative data type, each data point represents the number of rotations taken from the start of the count.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_CYCLING_WHEEL_REVOLUTION,"In the com.google.cycling.wheel_revolution.cumulative data type, each data point represents the number of revolutions taken from the start of the count.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_CYCLING_WHEEL_RPM,"In the com.google.cycling.wheel_revolution.rpm data type, each data point represents an instantaneous measurement of the wheel in revolutions per minute.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_DISTANCE_DELTA,"In the com.google.distance.delta data type, each data point represents the distance covered, in meters, since the last reading.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_HEART_POINTS,"In the com.google.heart_minutes data type, each data point represents derived heart points.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_HEART_RATE_BPM,"In the com.google.heart_rate.bpm data type, each data point represents an instantaneous measurement of the heart rate in beats per minute.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_HEIGHT,"In the com.google.height data type, each data point represents the height of the user at the time of the reading, in meters.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_HYDRATION,"In the com.google.hydration data type, the field_volume in the data point represents the volume, in liters, of water consumed by a user as part of a single drink.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_LOCATION_SAMPLE,"In the com.google.location.sample data type, each data point represents the user's location at a given instant.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_LOCATION_TRACK,This field is deprecated. Use TYPE_LOCATION_SAMPLE instead.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_MOVE_MINUTES,"In the com.google.active_minutes data type, each data point represents derived active minutes.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_NUTRITION,"In the com.google.nutrition data type, each data point represents the value of all nutrients consumed as part of a meal or a food item.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_POWER_SAMPLE,"In the com.google.power.sample data type, each data point represents an instantaneous measurement of power in watts.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_SLEEP_SEGMENT,"In the com.google.sleep.segment data type, each data point represents a continuous time interval with a single sleep segment type.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_SPEED,"In the com.google.speed data type, each data point represents the instantaneous speed over ground, in meters/second.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_STEP_COUNT_CADENCE,"In the com.google.step_count.cadence data type, each data point represents an instantaneous measurement of the cadence in steps per minute.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_STEP_COUNT_DELTA,"In the com.google.step_count.delta data type, each data point represents the number of steps taken since the last reading.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_WEIGHT,"In the com.google.weight data type, each data point represents the weight of the user at the time of the reading, in kilograms.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
TYPE_WORKOUT_EXERCISE,"In the com.google.activity.exercise data type, each data point represents a single continuous set of a workout exercise performed by a user.",https://developers.google.com/android/reference/com/google/android/gms/fitness/data/DataType,GeneralDataTypes
