category,description,link,datatype
CERVICAL_DILATION_MEDIUM,Partially open cervix.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_DILATION_MEDIUM,HealthDataTypes
CERVICAL_DILATION_OPEN,Fully open cervix.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_DILATION_OPEN,HealthDataTypes
CERVICAL_FIRMNESS_FIRM,Firm cervical firmness.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_FIRMNESS_FIRM,HealthDataTypes
CERVICAL_FIRMNESS_MEDIUM,Medium cervical firmness.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_FIRMNESS_MEDIUM,HealthDataTypes
CERVICAL_FIRMNESS_SOFT,Soft cervical firmness.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_FIRMNESS_SOFT,HealthDataTypes
CERVICAL_MUCUS_AMOUNT_HEAVY,Heavy cervical mucus amount.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_MUCUS_AMOUNT_HEAVY,HealthDataTypes
CERVICAL_MUCUS_AMOUNT_LIGHT,Light cervical mucus amount.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_MUCUS_AMOUNT_LIGHT,HealthDataTypes
CERVICAL_MUCUS_AMOUNT_MEDIUM,Medium cervical mucus amount.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_MUCUS_AMOUNT_MEDIUM,HealthDataTypes
CERVICAL_MUCUS_TEXTURE_CREAMY,Creamy cervical mucus texture.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_MUCUS_TEXTURE_CREAMY,HealthDataTypes
CERVICAL_MUCUS_TEXTURE_DRY,Dry cervical mucus texture.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_MUCUS_TEXTURE_DRY,HealthDataTypes
CERVICAL_MUCUS_TEXTURE_EGG_WHITE,Egg white cervical mucus texture.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_MUCUS_TEXTURE_EGG_WHITE,HealthDataTypes
CERVICAL_MUCUS_TEXTURE_STICKY,Sticky cervical mucus texture.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_MUCUS_TEXTURE_STICKY,HealthDataTypes
CERVICAL_MUCUS_TEXTURE_WATERY,Watery cervical mucus texture.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_MUCUS_TEXTURE_WATERY,HealthDataTypes
CERVICAL_POSITION_HIGH,High cervical position.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_POSITION_HIGH,HealthDataTypes
CERVICAL_POSITION_LOW,Low cervical position.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_POSITION_LOW,HealthDataTypes
CERVICAL_POSITION_MEDIUM,Medium cervical position.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_POSITION_MEDIUM,HealthDataTypes
FIELD_TEMPORAL_RELATION_TO_MEAL_AFTER_MEAL,Reading was taken after an unspecified meal.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#FIELD_TEMPORAL_RELATION_TO_MEAL_AFTER_MEAL,HealthDataTypes
FIELD_TEMPORAL_RELATION_TO_MEAL_BEFORE_MEAL,Reading was taken before an unspecified meal.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#FIELD_TEMPORAL_RELATION_TO_MEAL_BEFORE_MEAL,HealthDataTypes
FIELD_TEMPORAL_RELATION_TO_MEAL_FASTING,Reading was taken during a fasting period.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#FIELD_TEMPORAL_RELATION_TO_MEAL_FASTING,HealthDataTypes
FIELD_TEMPORAL_RELATION_TO_MEAL_GENERAL,Reading was not taken immediately before or after eating.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#FIELD_TEMPORAL_RELATION_TO_MEAL_GENERAL,HealthDataTypes
MENSTRUAL_FLOW_HEAVY,Heavy menstrual flow.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#MENSTRUAL_FLOW_HEAVY,HealthDataTypes
